Date,Open,High,Low,Close,Parsed_Date,Day
06-06-2024,"19,089.50","19,124.50","19,017.30","19,060.30",2024-06-06 00:00:00,Thursday
06-05-2024,"18,711.00","19,090.50","18,696.30","19,074.30",2024-06-05 00:00:00,Wednesday
06-04-2024,"18,662.50","18,753.30","18,511.30","18,701.00",2024-06-04 00:00:00,Tuesday
06-03-2024,"18,590.30","18,755.50","18,435.80","18,646.30",2024-06-03 00:00:00,Monday
05-31-2024,"18,590.80","18,668.30","18,241.30","18,591.00",2024-05-31 00:00:00,Friday
05-30-2024,"18,753.00","18,787.00","18,546.30","18,606.50",2024-05-30 00:00:00,Thursday
05-29-2024,"18,949.50","18,949.80","18,740.00","18,802.80",2024-05-29 00:00:00,Wednesday
05-28-2024,"18,950.50","18,980.50","18,819.50","18,940.50",2024-05-28 00:00:00,Tuesday
05-24-2024,"18,684.00","18,926.00","18,680.00","18,876.00",2024-05-24 00:00:00,Friday
05-23-2024,"18,860.50","19,023.30","18,621.50","18,696.30",2024-05-23 00:00:00,Thursday
05-22-2024,"18,798.30","18,891.00","18,684.30","18,786.80",2024-05-22 00:00:00,Wednesday
05-21-2024,"18,746.00","18,808.80","18,678.00","18,799.30",2024-05-21 00:00:00,Tuesday
05-20-2024,"18,633.50","18,794.50","18,633.00","18,763.00",2024-05-20 00:00:00,Monday
05-17-2024,"18,642.00","18,686.80","18,545.00","18,635.30",2024-05-17 00:00:00,Friday
05-16-2024,"18,693.30","18,760.80","18,633.30","18,650.00",2024-05-16 00:00:00,Thursday
05-15-2024,"18,409.80","18,707.00","18,393.00","18,691.80",2024-05-15 00:00:00,Wednesday
05-14-2024,"18,282.00","18,433.00","18,165.50","18,415.00",2024-05-14 00:00:00,Tuesday
05-13-2024,"18,238.00","18,336.30","18,228.80","18,295.50",2024-05-13 00:00:00,Monday
05-10-2024,"18,226.00","18,348.00","18,188.50","18,255.00",2024-05-10 00:00:00,Friday
05-09-2024,"18,160.80","18,240.30","18,103.80","18,214.50",2024-05-09 00:00:00,Thursday
05-08-2024,"18,194.00","18,242.30","18,072.50","18,186.50",2024-05-08 00:00:00,Wednesday
05-07-2024,"18,189.50","18,266.30","18,151.00","18,199.50",2024-05-07 00:00:00,Tuesday
